fips,state,county,pct_laccess_pop10,pct_laccess_pop15,pct_laccess_lowi10,pct_laccess_lowi15,pct_laccess_hhnv10,pct_laccess_hhnv15,pct_laccess_snap15,pct_laccess_child10,pct_laccess_child15,pct_laccess_seniors10,pct_laccess_seniors15,pct_diabetes18,class
1001,AL,Autauga,33.7696573,32.06225475,9.793530396,11.991125,3.284785556,3.351331631,4.608749253,8.837111779,8.460485386,4.376377982,3.996278765,9.5,1.0
1003,AL,Baldwin,19.3184726,16.76748933,5.460260624,5.424426597,2.14782716,1.905114466,1.298900369,4.34319915,3.844936041,3.513570133,3.061840062,8.4,0.0
1005,AL,Barbour,20.84097171,22.10556007,11.42031572,10.73966657,4.135869371,4.329378079,4.30314705,3.425062194,3.758341321,2.805166443,3.001694513,13.5,1.0
1007,AL,Bibb,4.559752683,4.230324421,2.144660992,2.601627008,3.458580095,2.821427444,0.6767103235,1.087518013,1.015241851,0.657007739,0.6008650707,10.2,1.0
1009,AL,Blount,2.700840095,6.497380137,1.062467654,2.880149823,3.269379844,3.336414144,0.812727493,0.6714901911,1.58872006,0.340269096,0.8825830963,10.5,1.0
1011,AL,Bullock,37.47465226,37.95034236,20.15173014,19.74335074,7.285560969,11.10444061,6.01662283,5.56256064,5.650681601,5.079604368,5.190941491,9.4,1.0
1013,AL,Butler,6.243470213,6.226804584,2.832029115,2.926121931,4.652357458,3.770678378,1.076878993,1.264267328,1.260992579,1.217140537,1.216251206,10.9,1.0
1015,AL,Calhoun,26.06108574,23.43385181,10.04382389,9.178566583,2.64551813,2.60989548,4.080320208,5.869756019,5.201704017,4.195726759,3.757474335,12.9,1.0
1017,AL,Chambers,19.72296719,20.84321414,8.821524906,10.32855828,4.426159574,5.24080289,3.607493206,4.476623344,4.662732281,3.421906963,3.701398436,12.0,1.0
1019,AL,Cherokee,0.3055532516,0.3983319823,0.1326863763,0.2211124003,3.564252393,2.822199537,0.04600567763,0.06666684728,0.0721366768,0.03548555018,0.05301859823,10.5,1.0
1021,AL,Chilton,3.337712557,3.368006577,1.688604305,1.460530961,3.018511284,3.87190946,0.6972774753,0.7641358472,0.7722886215,0.5537991646,0.564706257,14.4,1.0
1023,AL,Choctaw,18.84879045,19.50281549,11.62806842,7.290419052,6.489997865,7.211671047,6.138276317,3.85485113,4.023045452,3.166733861,3.267771594,11.0,1.0
1025,AL,Clarke,19.58990819,22.11483889,11.23251266,11.1547123,7.274899392,9.129547508,4.148988028,5.26699054,5.896632408,2.822492571,3.261690702,14.3,1.0
1027,AL,Clay,5.331407536,4.613414585,1.928948336,2.32687988,3.286965297,3.40192308,0.7238262466,1.177525704,1.028049402,0.9669749166,0.7852368522,8.6,0.0
1029,AL,Cleburne,0.9809210249,5.27341132,0.5369355548,2.07171577,3.544518261,3.552265349,0.6712892316,0.2115359823,1.259161572,0.1948820721,0.7485629818,8.3,0.0
1031,AL,Coffee,22.81436775,20.99400573,7.425411658,5.98120314,4.454188548,2.737130888,1.997805118,5.46027242,5.144449659,2.990120556,2.208955804,13.8,1.0
1033,AL,Colbert,17.49017262,20.38595264,5.08981574,6.551704535,2.338258172,2.995959836,3.682782182,4.174278645,4.790221906,2.927991265,3.432093742,12.3,1.0
1035,AL,Conecuh,28.16587217,26.90020744,14.78309504,13.22977626,6.621534203,5.789568183,7.60967218,5.466418392,5.253773645,5.889327345,5.667538576,11.2,1.0
1037,AL,Coosa,24.58828961,24.51625213,6.524480323,10.12480749,3.52836185,5.844221713,3.072888742,4.316413734,4.336999536,4.901327848,4.895999954,9.5,1.0
1039,AL,Covington,8.828653377,9.980464049,3.046753433,4.370326751,4.269161412,3.300127,1.427113485,1.804610003,2.07591947,1.740112036,1.92933503,11.9,1.0
1041,AL,Crenshaw,38.71628362,37.96178978,15.83537355,17.03906038,6.594574761,4.438704255,7.827321756,9.326931968,9.192671846,5.602071574,5.455149518,10.7,1.0
1043,AL,Cullman,7.829499986,7.33809691,3.153374299,3.10960625,3.092267498,3.298245805,1.111857345,1.837581454,1.782276817,1.456254466,1.263053349,11.0,1.0
1045,AL,Dale,27.55559062,27.933713,10.28382257,10.55938033,2.685978646,3.065504847,3.418145695,7.610137593,8.246732551,2.737059252,2.715721724,11.7,1.0
1047,AL,Dallas,17.7672232,17.43509098,11.56345443,11.55627093,6.252084196,5.794713908,6.595094049,4.472785842,4.431511993,2.907592688,2.845549682,13.9,1.0
1049,AL,DeKalb,3.768654688,3.768654688,2.254340844,2.166964609,4.135196616,2.756660319,0.690552415,1.251612404,1.251612404,0.3631794016,0.3631794016,11.1,1.0
1051,AL,Elmore,18.9293027,18.99596054,6.559576214,6.943021714,3.105429416,3.467339217,2.052276699,3.981424843,4.048963833,2.007732158,1.933192832,12.1,1.0
1053,AL,Escambia,13.54081837,13.2017417,7.576713325,7.219940028,3.941202319,4.009301137,3.935450428,3.3554374,3.136732646,2.095940466,2.20185604,13.5,1.0
1055,AL,Etowah,23.72804055,22.30185466,8.619385788,9.400616626,2.769081179,3.23626668,3.612079171,5.062683802,4.72375356,4.619493042,4.350987468,13.8,1.0
1057,AL,Fayette,2.537624813,2.362895151,1.329627887,1.354458699,3.49312948,6.266506819,0.7961257449,0.6367778353,0.5262594861,0.3864930963,0.4140150662,9.4,1.0
1059,AL,Franklin,9.695227066,11.55514048,3.643894576,4.120619394,3.739746929,3.712810354,2.067381699,2.567409313,2.897740583,1.25919392,1.566873031,9.5,1.0
